"2930115","S52MB Franc","Private Call","No"
"2930116","S56VDK ?","Private Call","No"
"2930117","S52AS Roman","Private Call","No"
"2930118","S56SPT Peter","Private Call","No"
"2930119","S54AJE Anze","Private Call","No"
"2930120","S59DJR RK NM","Private Call","No"
"2930121","S54MTB Marko","Private Call","No"
"2930122","S54AZA Ales","Private Call","No"
"2930123","S51KZ Goldy","Private Call","No"
"2930124","S59GCD RK Lasko","Private Call","No"
"2930125","S56VTV Janez","Private Call","No"
"2930126","S52HI Kojot","Private Call","No"
"2930127","S56SIJ Ursulinka","Private Call","No"
"2930128","S56RIR Martin","Private Call","No"
"2930129","S56WBV Peter","Private Call","No"
"2930130","S52ME Bojan","Private Call","No"
"2930131","S51KM Mirko","Private Call","No"
"2930132","S56OA Ogo","Private Call","No"
"2930133","S55TZ Tomaz","Private Call","No"
"2930134","S56JPS Janez","Private Call","No"
"2930135","S56EPN Marcel","Private Call","No"
"1930136","S56SCI Marjan 2","Private Call","No"
"1930137","S55WT Janko","Private Call","No"
"1930138","S50ZR Zelko 2","Private Call","No"
"1930139","S57JZ Jozko","Private Call","No"
"1930140","S56GCX Janez","Private Call","No"
"1930141","S56GCY Vanja","Private Call","No"
"1930142","S57KRN Rok","Private Call","No"
"2930143","S50AKR ARON Gor.","Private Call","No"
"2930144","S57R Janko","Private Call","No"
"2930145","S57AJJ Jure","Private Call","No"
"2930146","S51ZZ Vojko","Private Call","No"
"2930147","S56ECR Miha","Private Call","No"
"2930148","S50VZZ Vezist","Private Call","No"
"2930149","S56PB Bogo","Private Call","No"
